atracao_id,dia_semana_id,horario,aberto
79,6,10:00 a 20:00,1
79,0,Fechado,0
79,1,10:00 a 20:00,1
80,2,09:00 a 17:00,1
80,3,09:00 a 17:00,1
80,4,09:00 a 17:00,1
80,5,09:00 a 17:00,1
80,6,09:00 a 17:00,1
80,0,Fechado,0
80,1,09:00 a 17:00,1
81,2,09:00 a 17:00,1
81,3,09:00 a 17:00,1
81,4,09:00 a 17:00,1
81,5,09:00 a 17:00,1
81,6,09:00 a 17:00,1
81,0,Fechado,0
81,1,09:00 a 17:00,1
82,2,09:00 a 16:00,1
82,3,09:00 a 16:00,1
82,4,09:00 a 16:00,1
82,5,09:00 a 16:00,1
82,6,09:00 a 16:00,1
82,0,Fechado,0
82,1,09:00 a 16:00,1
83,2,13:00 a 17:00,1
83,3,13:00 a 17:00,1
83,4,13:00 a 17:00,1
83,5,Fechado,0
83,6,Fechado,0
83,0,Fechado,0
83,1,13:00 a 17:00,1
84,2,08:00 a 17:00,1
84,3,08:00 a 17:00,1
84,4,08:00 a 17:00,1
84,5,11:00 a 17:00,1
84,6,11:00 a 17:00,1
84,0,Fechado,0
84,1,08:00 a 17:00,1
85,2,"09:30 a 13:00, 14:00 a 17:30",1
85,3,"09:30 a 13:00, 14:00 a 17:30",1
85,4,"09:30 a 13:00, 14:00 a 17:30",1
85,5,"09:30 a 13:00, 14:00 a 17:30",1
85,6,"09:30 a 13:00, 14:00 a 17:30",1
85,0,Fechado,0
85,1,"09:30 a 13:00, 14:00 a 17:30",1
86,2,10:00 a 18:00,1
86,3,10:00 a 18:00,1
86,4,10:00 a 18:00,1
86,5,10:00 a 18:00,1
86,6,09:00 a 17:00,1
86,0,Fechado,0
86,1,10:00 a 18:00,1
87,2,10:00 a 17:00,1
87,3,10:00 a 17:00,1
87,4,10:00 a 17:00,1
87,5,10:00 a 17:00,1
87,6,10:00 a 17:00,1
87,0,Fechado,0
87,1,10:00 a 17:00,1
89,2,10:00 a 22:00,1
89,3,10:00 a 22:00,1
89,4,10:00 a 22:00,1
89,5,10:00 a 22:00,1
89,6,10:00 a 22:00,1
89,0,Fechado,0
89,1,10:00 a 22:00,1
90,2,10:00 a 17:00,1
90,3,10:00 a 17:00,1
90,4,10:00 a 17:00,1
90,5,Fechado,0
90,6,Fechado,0
90,0,10:00 a 17:00,1
90,1,10:00 a 17:00,1
91,2,10:00 a 18:30,1
91,3,10:00 a 18:30,1
91,4,10:00 a 18:30,1
91,5,10:00 a 18:30,1
91,6,10:00 a 18:30,1
91,0,Fechado,0
91,1,10:00 a 18:30,1
92,2,10:00 a 18:00,1
92,3,10:00 a 18:00,1
92,4,10:00 a 18:00,1
92,5,10:00 a 18:00,1
92,6,10:00 a 18:00,1
92,0,Fechado,0
92,1,10:00 a 18:00,1
93,2,10:00 a 19:00,1
93,3,10:00 a 19:00,1
93,4,10:00 a 19:00,1
93,5,10:00 a 17:00,1
93,6,Fechado,0
93,0,Fechado,0
93,1,10:00 a 19:00,1
94,2,10:00 a 21:00,1
94,3,10:00 a 21:00,1
94,4,10:00 a 21:00,1
94,5,10:00 a 21:00,1
94,6,10:00 a 21:00,1
94,0,Fechado,0
94,1,10:00 a 21:00,1
95,2,09:00 a 17:00,1
95,3,09:00 a 17:00,1
95,4,09:00 a 17:00,1
95,5,Fechado,0
95,6,Fechado,0
95,0,09:00 a 17:00,1
95,1,09:00 a 17:00,1
96,2,13:00 a 17:00,1
96,3,13:00 a 17:00,1
96,4,13:00 a 17:00,1
96,5,Fechado,0
96,6,Fechado,0
96,0,13:00 a 17:00,1
96,1,13:00 a 17:00,1
97,2,08:00 a 19:00,1
97,3,08:00 a 19:00,1
97,4,08:00 a 19:00,1
97,5,08:00 a 19:00,1
97,6,07:00 a 19:00,1
97,0,08:00 a 19:00,1
97,1,08:00 a 19:00,1
98,2,09:00 a 17:00,1
98,3,09:00 a 17:00,1
98,4,09:00 a 17:00,1
98,5,09:00 a 17:00,1
98,6,09:00 a 17:00,1
98,0,Fechado,0
98,1,09:00 a 17:00,1
99,2,09:00 a 17:00,1
99,3,09:00 a 17:00,1
99,4,09:00 a 17:00,1
99,5,09:00 a 17:00,1
99,6,09:00 a 17:00,1
99,0,Fechado,0
99,1,09:00 a 17:00,1
100,2,09:00 a 20:00,1
100,3,09:00 a 20:00,1
100,4,09:00 a 20:00,1
100,5,09:00 a 20:00,1
100,6,09:00 a 20:00,1
100,0,09:00 a 20:00,1
100,1,Fechado,0
102,2,10:00 a 22:00,1
102,3,10:00 a 22:00,1
102,4,10:00 a 22:00,1
102,5,10:00 a 22:00,1
102,6,10:00 a 18:00,1
102,0,Fechado,0
102,1,10:00 a 22:00,1
103,2,10:00 a 17:00,1
103,3,10:00 a 17:00,1
103,4,10:00 a 17:00,1
103,5,10:00 a 17:00,1
103,6,10:00 a 17:00,1
103,0,Fechado,0
103,1,10:00 a 17:00,1
105,2,10:00 a 19:00,1
105,3,10:00 a 19:00,1
105,4,10:00 a 19:00,1
105,5,10:00 a 19:00,1
105,6,10:00 a 19:00,1
105,0,Fechado,0
105,1,10:00 a 19:00,1
106,2,09:00 a 17:00,1
106,3,09:00 a 17:00,1
106,4,09:00 a 17:00,1
106,5,10:00 a 16:00,1
106,6,Fechado,0
106,0,09:00 a 17:00,1
106,1,Fechado,0
107,2,11:00 a 18:00,1
107,3,11:00 a 18:00,1
107,4,11:00 a 18:00,1
107,5,11:00 a 18:00,1
107,6,Fechado,0
107,0,Fechado,0
107,1,11:00 a 18:00,1
108,2,11:00 a 18:00,1
108,3,11:00 a 18:00,1
108,4,11:00 a 18:00,1
108,5,11:00 a 18:00,1
108,6,11:00 a 18:00,1
108,0,Fechado,0
108,1,11:00 a 17:00,1
109,2,09:00 a 17:00,1
109,3,09:00 a 17:00,1
109,4,09:00 a 17:00,1
109,5,09:00 a 15:00,1
109,6,Fechado,0
109,0,09:00 a 17:00,1
109,1,09:00 a 17:00,1
